flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes,window,confirm
inv_h15_near_high,6,drawdown,10-20,34770,33308,23072,145,125,launch_500,0.9579522576934139,0.6926864416956887,0.004353308514470998,0.005417822468793343,1.2445298675211631,1.0450604594616923,1.4818250348359832,125,True,False,holdout,False
inv_h15_near_high,6,drawdown,20-30,2498,2363,1529,11,11,launch_500,0.9459567654123299,0.6470588235294118,0.004655099449851883,0.007194244604316547,1.5454545454545454,0.8639721499725853,2.7575473361070264,11,False,False,holdout,False
inv_h15_near_high,6,mst,0-12,121373,116475,71474,452,371,launch_500,0.9596450610926648,0.6136424125348787,0.003880661086069972,0.0051906987156168675,1.3375810462422006,1.2085109284374909,1.480356411925151,371,True,False,holdout,False
inv_h15_near_high,6,mst,13-24,14356,14203,8584,109,81,launch_500,0.9893424352187239,0.6043793564739843,0.007674434978525663,0.009436160298229263,1.2295576579426626,0.990181438637058,1.5261200837049842,81,False,False,holdout,False
inv_h15_near_high,12,all,ALL,135729,126903,78034,541,433,launch_500,0.9349733660455761,0.6149106010102204,0.00426309858710984,0.005548863315990466,1.3016033297396268,1.1849252533739183,1.4297001659685376,433,True,False,holdout,False
inv_h15_near_high,12,drawdown,0-10,98461,92750,59419,397,330,launch_500,0.9419973390479479,0.6406361185983828,0.0042803234501347705,0.0055537790942291184,1.297513881586274,1.1651837804667649,1.4447793271557845,330,True,False,holdout,False
inv_h15_near_high,12,drawdown,10-20,34770,31886,17403,133,95,launch_500,0.9170549324129997,0.5457881201781346,0.004171109577871166,0.005458828937539505,1.3087234549051479,1.0711671903934754,1.5986104821173572,95,False,False,holdout,False
inv_h15_near_high,12,drawdown,20-30,2498,2267,1212,11,8,launch_500,0.9075260208166533,0.5346272606969563,0.004852227613586237,0.006600660066006601,1.3603360336033603,0.6900728565276182,2.673148777893892,8,False,False,holdout,False
inv_h15_near_high,12,mst,0-12,121373,112811,68805,435,348,launch_500,0.9294571280268263,0.6099139268333762,0.003856006949676893,0.005057771964246785,1.3116604897899864,1.181182742829836,1.4564699674827812,348,True,False,holdout,False
inv_h15_near_high,12,mst,13-24,14356,14092,9229,106,85,launch_500,0.9816104764558373,0.6549105875674142,0.007521998296906046,0.009210098602232094,1.2244217877608932,0.9911083266761724,1.5120294182488279,85,False,False,holdout,False
