label,measure,k,winner_median,winner_mean,winner_n,winners,population_median,population_mean,population_months,winner_coverage
win_100,ev_total_t12,-21,13.0,14.38148833384726,19458,20367,13.0,14.449369839200347,19458,0.9553689792311092
win_100,ev_total_t12,-18,13.0,14.622911450615707,19571,20367,13.0,14.656019656019655,19571,0.9609171699317524
win_100,ev_total_t12,-15,13.0,14.814070097244732,19744,20367,13.0,14.846685644570965,19744,0.9694113025973389
win_100,ev_total_t12,-12,14.0,14.946868595991402,20007,20367,13.0,14.982523444160273,20007,0.9823243482103402
win_100,ev_total_t12,-9,14.0,15.092059099668923,20237,20367,14.0,15.048868778280543,20237,0.9936171257426228
win_100,ev_total_t12,-6,14.0,15.235950636707802,20339,20367,14.0,15.184557438794727,20339,0.9986252270830265
win_100,ev_total_t12,-3,14.0,15.423724652624344,20367,20367,14.0,15.212105798575788,20367,1.0
win_100,ev_total_t12,0,14.0,15.674718908037512,20367,20367,14.0,15.380560928433269,20367,1.0
win_100,ev_total_t12,3,15.0,15.957823930868562,20367,20367,14.0,15.541379310344828,20367,1.0
win_100,ev_total_t12,6,15.0,16.16325428389061,20367,20367,14.0,15.561360874848116,20367,1.0
win_100,ev_total_t12,9,15.0,16.277802327294154,20367,20367,14.0,15.478136493665714,20367,1.0
win_100,ev_total_t12,12,15.0,16.335886483036283,20367,20367,14.0,15.296152183311717,20367,1.0
win_100,ev_total_t12,15,14.0,16.10016202680807,20367,20367,14.0,15.08515100671141,20367,1.0
win_100,ev_total_t12,18,14.0,15.578533902882112,20367,20367,13.0,14.821994408201304,20367,1.0
win_100,ev_total_t12,21,13.0,14.883438896253743,20367,20367,13.0,14.563288563288562,20367,1.0
win_100,ev_total_t12,24,13.0,14.033436441302106,20367,20367,13.0,14.263482914779745,20367,1.0
